City,AQI,Precipitation,GDP,Temperature,Altitude,PopulationDensity,Coastal,GreenCoverageRate,"Incineration.Amount(10,000ton)"
Ngawa Prefecture,23,665.1,271.13,8.2,2617,11,0,36,23
Aksu City,137,80.4,610,12.27671233,1108,6547,0,33.94,23
Alxa League,85,150,322.58,24.2,1673,1,0,36,23
Ngari,28,74.2,37.4,1,4280,1,0,36,23
Anqin City,79,2127.8,1613.2,17.29178082,13,2271,0,45.8,27.48
Anyang City,110,672.1,1884.48,15.35068493,71,4735,0,36.28,54.51
Anshan City,111,708,2326,11.41232877,49,2534,0,38.25,58.13
Macao SAR,44,2000,3358,22,40,20547,1,41,22
Bayannur City,53,188,887.43,3.7,1042,5093,0,35.12,15.98
Bazhong City,58,1198.9,501.34,16.9,443,2653,0,39.11,15.09
Bengbu City,96,910,1253.1,16.01369863,25,2599,0,38.48,29.61
Baotou City,45,262.9,3781.93,8.91369863,1065,2130,0,37,52.29
Baoji City,111,695,1788.59,14.83424658,567,5352,0,40.61,36.54
Baoding City,220,566.9,2757.8,13.25890411,17.2,4565,0,30.96,49.27
Baoshan City,56,1000,552,17.39178082,1673,4529,0,31,10.95
Beihai City,23,1670,892.1,24.61643836,21,458,1,27.45,24.74
Beijing City,296,458.9,22968.6,13.77260274,31.2,1292,0,34,686.67
Benxi City,63,900,1160,9.271232877,100,602,0,44.88,31.76
Binzhou City,142,564.8,2355.33,14.11643836,9,1110,0,42.92,27.99
Haozhou City,59,831,942.6,10.58695652,39,3693,0,41.32,17.66
Cangzhiu City,105,581,3133.38,14.30273973,12,3169,1,42.9,24
Qamdo City,31,477.7,136,7.6,3230,5714,0,7.6,3.5
Changde City,69,1550,2709.02,17.93287671,38,2366,0,36.26,26.81
Changshu City,51,1615.3,2100,17.27534247,7,1200,0,42.37,28.61
Changzhou City,116,1450.9,5273.15,16.9739726,3,2399,0,42.47,76.48
Chaohu City,22,1215,273.1,16.82876712,13,7708,0,42.93,13.5
Chaoyang City,224,450,780,13.72739726,168,1022,0,40.57,33
Chaozhou City,106,1685.8,910.1,23.19589041,18,3503,0,32.16,51.94
Chenzhou City,49,1452.1,2012.07,19.67808219,189,1081,0,39.56,21.78
Chengdu City,118,873.3,10912.17,18.22191781,485,6116,0,39.84,273.55
Chengde City,195,440.5,1342.55,10.08219178,325,89,0,33,30
Chizhou City,40,1959.4,530.6,17.30547945,18,1199,0,36.51,14.06
Chifeng City,91,374,1861.27,8.434246575,587,1754,0,42.2,42.03
Chuzhou City,63,1035,1305.7,15.50273973,31,1456,0,47.17,12.57
Chuxiong Prefecture,44,900,762.97,14.8,1777,5574,0,36.15,10.95
Dazhou City,86,1086.1,1353.67,18.75205479,306,974,0,29.57,23.12
Dali City,39,1768.9,901.07,16.4,2007,3515,0,37.11,21.5
Dalian City,132,601.9,7700,12.40273973,29,2820,1,19.38,122.81
Daqing City,61,427.5,2983.5,6.167123288,149,4667,0,43.7,43.64
Datong City,82,56.1,1060,7.468493151,1044,9492,0,36,23
Dandong City,86,878.5,990.5,10.24520548,5,3237,1,48.39,21.37
Dehong Prefecture,49,1766.9,292.3,18.4,927,110,0,36,10
Deyang City,89,711,1605.1,18.13561644,491,2950,0,40.12,18.25
Dezhou City,116,547.5,2750,15.0109589,23,1448,0,41.3,30.29
Diqing Prefecture,23,824,161.1,13,3294,17,0,36,23
Dongguan City,26,2137.9,6275.06,23.84931507,6,2417,0,36.98,390.43
Dongying City,199,684.7,3450,14.82876712,2,617,1,34.61,22.32
Erdos City,61,348.3,4226.13,6.2,1311,2624,0,36.04,22.4
Ezhou City,113,1364.1,730,18.29863014,17,1740,0,36.18,17.85
Enshi Prefecture,75,1535,670,16,490,4942,0,17.12,11.96
Erenhot City,57,136.6,100.73,3.4,963,1471,0,35.53,7.2
Foshan City,23,2055.2,8003.92,23.77260274,5,2469,0,43.73,93.84
Fuzhou City,37,1775.2,5618.1,21.41232877,10,2322,1,41.09,105.9
Fushun City,67,760,1236,7.48630137,83,2069,0,33.96,38.22
Fuzhou City(Jiangxi),42,1700,1105.14,19.54931507,45,6648,0,39.78,22.34
Fuxin city,141,480,530,9.308219178,146,1741,0,34.24,29.2
Fuyang City(Anhui),44,910,1267.4,17.80958904,33,2290,0,29.26,25.23
Fuyang City(Zhejiang),80,2137.7,643.6,16.0890411,21,360,0,36,29
Garze Prefecture,17,920,217.57,13.5,2552,8,0,36,23
Ganzhou City,32,1469,1973.87,20.96712329,109,8047,0,37.14,37.63
Kaohsiung City,68,1738,4095.28,24.2,9,941,1,44,136.24
Guang'an City,64,1071.2,1005.6,18.29589041,302,2106,0,39.49,14.34
Guangyuan City,46,892.8,605.43,17.27671233,488,2064,0,37.15,18.66
Guangzhou City,20,2478.1,18100.41,23.60547945,18,5940,1,18.78,455.84
Guiyang City,36,1433.2,2891.16,19.07945205,1277,2163,0,38.57,111.88
Guilin City,61,1901,1942.97,20.24520548,154,1535,0,43.63,38.42
Harbin City,102,423.1,5751.2,5.836986301,118,11366,0,43.7,143.26
Haikou City,22,1674.3,1161.28,26.09041096,15,2916,1,43.36,78.19
Haimen City,45,581,915.2,16.53972603,5,4900,1,41.23,9.06
Handan City,113,458,3080,15.28356164,55,780,0,32,49
Hangzhou City,103,2137.7,10053.58,17.90547945,19,3527,0,42.62,351.98
Hefei City,99,1224.9,5660.3,17.125,38,3357,0,36.66,122.05
Heyuan City,16,1700,810.08,22.77260274,34,8950,0,30.7,21.34
Heze City,88,831,2400.96,15.62054795,54,1762,0,44.68,40.15
Hebi City,85,534,713.23,14.30684932,89,3602,0,38.69,15.96
Hengshui City,142,547,1139,14.65479452,24,503,0,30,27
Hengyang City,66,142,2601.57,19.37945205,82,8360,0,45.11,43.82
Honghe Prefecture,75,1893,1222,18.1,1304,137,0,36,23
Hohhot City,49,361.2,3090.52,6,1072,177,0,36,23
Hulunbeier City,42,250,1595.96,0,612,10,0,33,22
Huludao City,181,878,720,10.55342466,17,883,1,29.84,25.25
Huzhou City,74,1450,2084.3,17.14520548,3,1408,0,42.5,45.77
Hualien County,24,1268,417,23,16,72,1,46,24
Huai'an City,101,878,2745.09,13.6,13,6461,0,40.14,43.26
Huaibei City,97,910,760.4,16.19726027,32,3883,0,43.94,21.75
Huainan City,73,910,770.6,17.13150685,52,2213,0,38.88,32.1
Huanggang City,106,1550,1589.24,17.80273973,49,5996,0,40.16,18.76
Huangshan mountain Scenic Spot,88,440,544.7,8.3,710,90,0,33,23
Huangshan City,29,1469,544.7,17.73150685,122,833,0,33.91,12.61
Huangshi City,105,2137,1235,18.05616438,21,3698,0,39.65,29.2
Huizhou City,18,1670,3140.03,23.98219178,21,1372,1,40.03,95.29
Keelung City,13,1775,514,21,10,2802,1,41,24
Ji'an City,40,1035,1328.52,18.32191781,53,1898,0,31.9,16.65
Jilin City,71,308,2455.2,7.176712329,202,2559,0,19.45,33.83
Jimo City,61,1670,1110,14.21506849,22,913,1,44.57,25.02
Jinan City,107,713.7,6130.68,15.58356164,148,2504,0,50.82,137.28
Jining City,83,831,4013.12,13.85616438,39,1583,0,44.92,49.05
Jiyuan City,140,480,494.41,14.6,146,6108,0,40.4,18.96
Jiaxing City,97,574,3517.06,17.26986301,4,3742,1,37.83,33.39
Chiayi County,51,1775,578,22.6,2,273,1,46,24
Jiayuguan City,75,267,195,7.2,1656,1826,0,39.5,7.3
Jiangmen City,46,1966,2240.02,23.90136986,6,2032,0,40.42,45.67
Jiangyin City,82,581,2880.86,17.05890411,9,1865,1,42.98,18.15
Jiaonan City,85,878,981.15,10.94246575,6,90,1,44,24
Jiaozhou City,54,1742,981.2,14.39315068,10,832,1,39.44,18.94
Jiaozuo City,199,689,1943.37,16.51506849,100,5564,0,35.39,27.88
Jieyang city,62,1775,1890.01,21.4,4,2095,0,40.11,33.49
Jinchang City,108,480,224.5,10.7,1526,3702,0,36.29,9.2
Jinhua City,59,1638,3406.5,18.80410959,43,1720,0,36.06,45.72
Kinmen County,35,1775,152.91,21,-12,914,1,46,22
Jintan City,106,1742,471.48,16.86986301,7,567,0,32,14
Jinzhou City,202,547,1357.5,12.18630137,23,309,1,44,25
Jincheng City,102,592,1040.2,13.04383562,703,244,0,33,17
Jinzhong City,110,440,1046.12,11.93424658,811,203,0,33,23
Jingmen City,110,534,1388.46,16.70273973,87,1995,0,32.37,14.86
Jingzhou City,100,1550,1590.5,17.50547945,34,9389,0,37.3,23.51
Jingdezhen City,48,1700,772.06,19.07123288,35,2522,0,41.11,14.78
Jiujiang City,47,1550,1902.68,17.92191781,41,6055,0,41.22,21.57
Jurong City,65,1200,468.5,16.54109589,24,1804,0,40.38,7.37
Kaifeng City,65,1450,1604.84,15.99863014,76,5601,0,38.69,31.62
Karamay City,74,267,670.1,8.6,354,5185,0,43.05,16.57
Kunming City,62,1189.5,3970,16.72054795,1930,2170,0,40.64,158.76
Kunshan City,55,1615,3080,17.51369863,7,2893,0,43.75,69.25
Lhasa City,33,377.4,389.46,10.06027397,3660,1422,0,36.14,23.76
Laiwu City,138,450,755,14.53013699,197,1003,0,44.94,22.12
Laixi City,118,672,526.02,13.60136986,70,729,0,41.98,15.51
Laizhou City,106,708,717,14.73150685,48,1018,1,42.76,22.84
Lanzhou City,75,267,2095.99,12.33972603,1525,7540,0,25.8,98.36
Langfang City,181,1742,2056,13.83287671,18,721,0,36,27
Leshan City,87,1066.8,1301.2,19.2890411,355,1981,0,33.12,18.99
Lijiang City,26,665,290,14.42739726,2384,6538,0,40.63,13.79
Lishui City,32,1229,1102.34,19.87260274,74,1296,0,40.97,16.1
Liyang City,99,1615,738.15,16.99178082,7,1896,0,43.08,7.18
Lianyungang City,65,878,2160.64,14.17671233,4,1463,1,40.92,36.25
Liangshan Prefecture,31,1433,1314.72,15.3,1523,75,0,36,23
Liaoyang City,62,601,1025,10.46164384,27,391,0,33,31
Liaocheng City,120,458,2663.62,14.74931507,37,2088,0,38.81,40.74
Nyingchi City,35,617,105,3,2994,1905,0,36.07,1.53
Lin'an City,86,1224,466.28,17.04520548,39,1114,0,36.79,12.77
Lincang City,48,1000,502.1,19.20410959,1493,5543,0,39,6.36
Linfen City,76,1535,1161.1,15.19589041,450,215,0,33,14
Linyi City,157,672,3763.2,15.19452055,68,1633,1,44.93,86.2
Liuzhou City,41,1229,2298.62,21.88493151,91,3517,0,42.95,49.83
Lu'an City,70,308,1143.4,13.77260274,75,3600,0,44.5,19.28
Longyan City,19,1469,1738.45,21.83013699,329,2089,0,43.21,23.84
Loudi City,76,142,1291.38,18.14931507,120,7814,0,37.51,14.5
Luzhou City,106,1290.6,1353.4,19.07123288,262,2926,0,39.89,28.64
Luoyang City,110,602.3,3508.75,15.5109589,147,7278,0,32.41,71.39
Luohe City,85,831,992.85,15.70410959,62,5283,0,34.39,22
Lvliang City,64,1071,955.8,11.66575342,951,181,0,33,23
Ma’anshan City,89,2137,1365.3,17.05068493,19,4105,0,40.05,22.91
Maoming City,26,1638,2445.6,24.59726027,30,4263,1,24.75,22.12
Meishan City,110,990.2,1029.86,18.92191781,415,1711,0,35.09,26.17
Meizhou City,12,1229,955.09,22.7739726,87,1191,0,38.93,21.57
Mianyang City,88,717.6,1700.33,18.31232877,473,2673,0,38.7,34.24
Miaoli County,25,1700,623,22,60,310,1,46,22
Mudanjiang City,48,361,1186.3,5.952054795,234,68,0,33,29
Nagqu Prefecture,47,262,95.9,-2.5,4505,1,0,36,23
Nanchang City,61,2207.3,4000.01,19.2109589,16,7536,0,44.09,63.69
Nanchong City,91,1093.8,1516.2,19.20410959,338,2619,0,43.1,36.95
Nanjing City,97,1768.9,9720.77,16.77260274,13,1462,0,38.5,238.68
Nanning City,28,1229.4,3410.09,23.14109589,79,3411,0,36.76,107.44
Nanping City,12,1229,1339.51,21.07671233,87,1769,0,42.73,12.37
Nantong City,55,684,6148.4,16.48767123,2,4082,1,42.97,59.88
Nantou Ccounty,64,1893,590,19,446,124,1,44,22
Nanyang City,111,602,2875.02,16.27671233,130,2506,0,36.08,49.25
Neijiang City,89,1128,1198.58,18.93561644,335,2307,0,35.43,16.43
Ningbo City,51,1651,8011.5,18.1630137,10,2444,1,39.16,111
Nujiang Prefecture,19,617,113.45,11,791,36,0,36,23
Panzhihua City,41,1053.4,925.18,21.85068493,1156,2102,0,39.8,17.91
Panjin City,119,878,1267.9,10.42465753,5,352,1,29,24
Penglai City,78,581,471.3,13.72191781,18,1115,1,42.08,7.3
Penghu County,24,1670,136,23.4,21,807,1,41,24
Pingdingshan City,103,689,1705.78,16.09589041,124,3620,0,36.68,30.3
Pingdu City,69,708,779.3,13.92054795,52,660,1,44.05,36.67
Pingtung County,51,1966,946,25,17,302,1,46,24
Pingxiang city,55,900,912.39,14.45068493,96,5258,0,40.04,15.84
Putian City,31,1775,1655.16,21.90273973,15,2570,1,41.87,42.57
Puyang City,77,458,1333.64,14.71643836,55,3384,0,38.4,21.9
Pu'er City,32,477,120.03,20.63561644,1330,58,0,36,7.95
Qiqihar City,52,136,1270,3.2,149,125,0,33,31
Qianjiang Country,90,1200,557,16.1,32,1333,0,36.61,12.78
Qinhuangdao City,163,878,1250.44,11.19041096,4,412,1,29,25
Qingdao City,65,720,9300.07,14.21369863,6,1723,1,42.9,184.97
Qingyang County,23,617,79.95,16.1,772,225,0,36,14
Qingyuan City,22,878,1285,20.7,14,1940,0,35,30.65
Quzhou City,45,1035,1146.2,17.3,61,1790,0,41.11,27.23
Qujing City,41,1768,1630.3,16.22876712,1847,8719,0,36.18,19.05
Quanzhou City,18,1775,6137.74,22.26438356,3,2410,1,44.42,51.4
Shigatse City,25,377,168,6.3,3844,2700,0,76.49,4.13
Rizhao City,129,831,1670.8,14.45205479,37,1674,1,45.74,25.54
Rongcheng City,35,1742,1022.3,13.30684932,17,771,1,46,15.24
Rushan City,47,601,477.18,13.16986301,27,1345,1,46.49,6.43
Sanmenxia City,180,1093,1260.55,15.29178082,377,7134,0,36.3,15.86
Sanming City,13,1469,1713.05,21.2260274,204,1011,0,43.13,11.45
Sanya City,21,1268,435.02,27.44794521,7,1946,1,42.9,45.77
Xiamen City,54,1775.2,3466.01,22.39315068,2,9685,1,41.36,161.56
Lhoka Prefecture,35,617,115,7.4,3572,4,0,36,23
Shantou City,50,1738,1850.01,23.70547945,8,4168,1,58.11,78.76
Shanwei City,59,1775,780,22,8,825,1,35.42,9.13
Shangqiu City,65,831,1803.93,15.05479452,50,9364,0,36.06,28.17
Shanghai Municipality,46,1651.5,24964.99,17.91643836,16,3804,1,34,613.85
Shangrao City,30,1229,1650.81,18.99726027,79,7649,0,46.46,27.76
Shaoguan City,12,1700,1149.98,21.3109589,57,454,0,41.6,21.76
Shaoyang city,77,142,1387,17.90410959,222,9112,0,35.1,17.42
Shaoxing City,104,2127,3366.7,18.11506849,12,2935,0,48.33,82.02
Shenzhen City,37,1966,17502.99,24.4109589,1,5697,1,34.56,574.83
Shennongjia Forestry District,50,900,22.5,12,887,24,0,36,23
Shenyang City,90,573.6,7280,9.183561644,51,640,0,36,31
Shiyan City,69,760,1300,16.49452055,290,1376,0,29.72,38.7
Shijiazhuang City,182,534.5,5440.6,14.8739726,80.5,681,0,36,31
Shizuishan City,85,480,482.4,8.4,1102,4096,0,40.64,21.77
Shouguang City,127,547,806.9,14.84657534,23,1043,1,44,12.6
Shuozhou City,96,440,910,8.663013699,1087,165,0,33,23
Suzhou City(Jiangsu),73,2055,14504.07,17.46986301,6,1251,0,34,214.33
Suizhou City,106,672,785,16.28356164,71,1843,0,38.44,21.29
Suining City,95,1127.1,915.81,18.46849315,280,2256,0,33.64,60.91
Taipei City,63,1775,5412.65,22.4,11,9952,1,41,351.93
Taitung County,15,2383,254,22,143,63,1,44,22
Tainan City,55,1638,2378.27,23.8,28,860,1,45,127.33
Taichung City,30,2383,3774.95,22.5,90,1240,1,44,106
Taizhou City,55,581,3558.13,16.8,14,1378,1,38.55,77.81
Taicang City,47,1742,625.64,17,4,581,0,33,14
Taiyuan City,138,401.5,2735.34,11.8890411,788,618,0,36,23
Tai'an City,151,537,3240,9.952054795,167,1658,0,36.64,31.71
Taizhou City,70,1742,3655.53,18.89863014,8,801,0,36,29
Tangshan City,166,547,6225.3,12.55890411,25.9,591,1,34,24
Taoyuan City,21,2383,2990.09,22.6,111,1727,1,44,93.75
Tianjin Municipality,121,574.4,16538.19,14.89863014,3.3,1298,1,34,421.66
Tianmen City,62,1200,440,16.1,27,928,0,37.87,16.43
Tieling City,79,708,745,9.460273973,57,205,0,33,31
Tongliao City,82,440,1877.27,8.561643836,177,52,0,36,31
Tongchuan city,98,480,324.54,12.88082192,717,7336,0,43.49,13.63
Tongling City,58,1584,721.3,17.45616438,26,2632,0,44.86,10.74
Wafangdian City,122,592,935.9,11.26438356,120,270,1,44,33
Weihai City,49,1670,3001.57,13.90821918,22,1473,1,41.1,41.35
Weifang City,146,288.3,5100,14.74931507,31,1082,0,42.04,47.43
Weinan City,117,537,1469.08,15.60410959,355,2022,0,38.69,20.39
Wenzhou City,50,1742,4619.84,19.61506849,9,774,1,41,24
Wendeng City,41,708,829.7,13.39726027,45,360,1,46,25
Wenshan Prefecture,60,1000,190.1,17.5,1259,5216,0,23.68,10.33
Wuhai City,113,480,258.92,10.5,1092,317,0,36,23
Urumqi City,170,408.9,2680,9.1,836,2123,0,40.3,138.55
Wuxi City,69,2055,8518.26,18.25616438,5,1360,0,36,198.34
Wuhu City,56,1742,2457.3,17.33104396,8,610,0,36,27
Wujiang City,55,1742,1540,17.54246575,7,652,0,36,28
Wuhan City,128,1427.5,10905.06,17.15068493,15,4413,0,41.99,330.68
Xi’an city,113,558,5810.03,15.48493151,385,7820,0,42.62,332.34
Xining City,72,308.2,1131.62,7.283561644,2263,3388,0,38.92,55.8
Sipsongpanna Prefecture,69,1893.7,335.9,20,555,59,0,36,23
Xilin Gol League,18,250,1002.6,1.5,987,5,0,33,22
Xiantao city,78,1200,590,16.3,30,1667,0,22.79,18.89
Xianning City,85,1584.2,1035,17.62739726,28,2493,0,21.57,15.26
Xianyang City,127,537,2155.91,14.07260274,383,2007,0,40.27,30.96
HongKong SAR,37,2383,17900,22.8,321,25900,1,37,594.48
Shangri-la City,24,617.6,100.9,5.5,3459,2034,0,8.67,4.64
Xiangtan City,67,142,1703.1,18.51232877,68,4851,0,36.23,30.42
Xiangyang City,118,672,3400,15.1,70,3099,0,41.18,34.33
Xiaogan City,101,1200,1460,16,24,5553,0,34.45,16.4
Xinzhou City,65,1450,680,10.50684932,790,125,0,33,23
New Taipei City,16,1775,5470.33,22,15,1935,1,41,24
Xinyu City,47,1700,946.8,18.7739726,63,2041,0,46.71,16.1
Hsinchu City,21,1700,686,22.2,25,4199,1,46,24
Hsinchu County,22,1700,714,22.2,30,380,1,46,24
Xinyang City,106,537,1877.75,16.60821918,106,2065,0,39.9,27.11
Xingtai City,175,534,1668.1,14.86712329,76.8,586,0,36,27
Hinggan League,36,1469,502.31,5,274,27,0,33,29
Suqian City,82,831,2126.19,15.65890411,30,582,0,36,27
Suzhou City(Anhui),87,910,1235.8,16.21917808,28,566,0,33,29
Xuzhou City,116,831.6,5319.88,15.50547945,36,770,0,36,31
Xuchang City,82,672,2170.6,15.28767123,71,5196,0,38.05,23.33
Xuancheng City,54,1742,971.5,17.07808219,15,210,0,33,14
Yaan City,81,1388.6,517.72,17.98356164,580,1346,0,40.8,15.19
Yantai City,89,574,6446.08,13.8,4,1962,1,44.38,119.91
Yanan City,108,510.4,1198.63,10.89041096,1070,6300,0,40.78,13.21
Yancheng City,88,684,4212.5,15.73561644,1,496,1,44,24
Yangzhou City,97,1742,4016.84,16.32876712,12,676,0,36,31
Yangjiang City,24,1966,1256,23.78082192,4,1180,1,44.71,22.82
Yangquan City,102,480,598.85,11.8260274,672,314,0,33,23
Yibin City,69,866.3,1529.9,19.68767123,321,707,0,38.22,29.21
Yichang City,104,1651.5,3384.8,16.84931507,59,1709,0,39.91,31.43
Yichun City,36,1469,1621.02,17.2,96,6517,0,50.56,16.75
Yilan County,21,1268,565,25,13,214,1,41,24
Yixing City,57,1200,1320,16.54520548,34,530,0,33,14
Yiwu City,78,672,1046,17,73,669,0,33,14
Yiyang City,66,866,1354.41,15.28630137,81,5632,0,39.47,17.19
Yinchuan City,81,227,1480.73,11.31643836,1111,799,0,40.89,51.93
Yingtan City,41,1700,639.26,19.19452055,40,325,0,36,14
Yingkou City,88,878,1500,10.53424658,5,492,1,44,24
Yongzhou City,59,1901,1418.18,19.13835616,103,5372,0,43.34,18.85
Yuxi City,46,892,1245.7,17.5260274,1625,3397,0,42.21,10.86
Yueyang City,77,1638.4,2886.28,18.23972603,37,4581,0,35.3,29.28
Yunfu City,15,1469,710.07,21.5,150,3118,0,34.84,10.76
Yunlin County,48,1700,715,22,28,542,1,46,24
Yuncheng City,119,592.4,1173.54,15.21780822,370,374,0,33,30
Zaozhuang City,148,534,2030,15.24657534,89,2784,0,44.92,46.25
Zhanjiang City,29,1674,2450,24.49452055,17,7718,1,40.5,37.63
Zhangjiagang City,73,581,2229.82,17.13287671,7,1152,1,44,24
Zhangjiajie City,64,1071,447.7,18.45890411,164,1632,0,41.66,12.43
Zhangjiakou City,103,440,1363.54,9.624657534,716,120,0,33,23
Zhangqiu City,103,401,870.8,15.00273973,143,737,0,33,29
Changhua County,38,1775,1356,22.6,14,1200,1,46,24
Zhangzhou City,59,1670,2767.45,23.28493151,19,388,1,45,24
Changchun City,106,530.5,5530.03,7.157534247,219,382,0,36,31
Changsha City,76,1638.4,8510.13,18.50547945,63,2831,0,37.6,203.04
Changzhi City,91,592,1137.1,11.65342466,931,247,0,33,23
Zhaoyuan City,117,480,639.84,11.5,85,1464,1,43.04,6.86
Shaotong City,27,665,709.2,13.94657534,1932,4949,0,24.05,14.6
Zhaoqing City,34,2137,1970.01,23.75616438,17,1507,0,39.64,27.76
Zhenjiang City,82,1224,3502.48,16.74931507,23,827,0,36,31
Zhengzhou City,152,689.2,7315.19,15.98219178,110,15055,0,41.87,206.96
Zhongshan City,45,1966,3010.03,24.05616438,13,2809,1,44.71,24.97
Chongqing Municipality,66,1450.9,15719.72,19.7260274,238,1904,0,40.3,440.03
Zhoushan City,25,1450,1094.7,17.66575342,3,800,1,46,24
Zhoukou City,88,910,2082.38,16.81369863,49,3808,0,42.46,14.86
Zhuhai City,41,1966,2024.98,24.31369863,7,2472,1,45.1,81.5
Zhuzhou City,52,1638,2335.11,18.75479452,46,1287,0,34.7,38.19
Zhuji City,104,1742,1026.78,17.8260274,16,501,0,36,29
Zhumadian City,79,1388,1807.09,15.94657534,84,2539,0,39.46,18.86
Ziyang City,86,807.8,1270.4,16.18219178,367,1787,0,38.67,18.28
Zibo City,116,288,4130.2,14.57671233,38,782,0,36,31
Zigong City,118,994.8,1143.11,19.43287671,311,1557,0,40.2,35.47
Zunyi City,60,1000,2168.34,16.99178082,865,3581,0,44.06,34.51
