StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2a#1_1_1,Q2a#1_1_2,Q2a#1_2_1,Q2a#1_2_2,Q2a#1_3_1,Q2a#1_3_2,Q2a#1_4_1,Q2a#1_4_2,Q2a#1_5_1,Q2a#1_5_2,Q2a#1_6_1,Q2a#1_6_2,Q2a#1_7_1,Q2a#1_7_2,Q2a#1_8_1,Q2a#1_8_2,Q2a#1_9_1,Q2a#1_9_2,Q2a#1_10_1,Q2a#1_10_2,Q2a#1_11_1,Q2a#1_11_2,Q2,Q3,Q4
1/12/2022 18:16,1/12/2022 18:17,IP Address,43.129.243.209,100,64,TRUE,1/12/2022 18:17,R_3KqHykz5ig72aWi,,,,,22.290802,114.1500854,anonymous,EN,180,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,20,20,1
1/12/2022 19:36,1/12/2022 19:37,IP Address,152.3.34.122,100,70,TRUE,1/12/2022 19:37,R_3KDQRzAaMTGYqbE,,,,,36.02290344,-78.9464035,anonymous,EN,170,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,-11,11,-1
1/12/2022 19:36,1/12/2022 19:38,IP Address,152.3.34.122,100,98,TRUE,1/12/2022 19:38,R_1hEB3dMbxCmMipC,,,,,36.02290344,-78.9464035,anonymous,EN,162,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,-20,20,-1
1/12/2022 19:36,1/12/2022 19:38,IP Address,152.3.34.122,100,93,TRUE,1/12/2022 19:38,R_xlbXQbva4vFyV7X,,,,,36.02290344,-78.9464035,anonymous,EN,172,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,-20,20,-1
1/12/2022 19:36,1/12/2022 19:38,IP Address,152.3.34.122,100,110,TRUE,1/12/2022 19:38,R_3hF3ZewYW8uloOE,,,,,36.02290344,-78.9464035,anonymous,EN,178,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,20,-20,20,-1
1/12/2022 19:36,1/12/2022 19:38,IP Address,152.3.34.122,100,118,TRUE,1/12/2022 19:38,R_6zgZMXe6TZGxkqt,,,,,36.02290344,-78.9464035,anonymous,EN,162,,2,,2,,2,,2,,2,,2,1,1,,2,,2,1,1,2,18,-16,20,-0.8
1/12/2022 19:36,1/12/2022 19:39,IP Address,152.3.34.122,100,163,TRUE,1/12/2022 19:39,R_1j6u6uAeAnCEao3,,,,,36.02290344,-78.9464035,anonymous,EN,170,,2,,2,1,1,,2,,2,1,1,1,1,,2,,2,1,1,4,16,-12,20,-0.6
1/12/2022 19:36,1/12/2022 19:39,IP Address,152.3.34.122,100,162,TRUE,1/12/2022 19:39,R_Aj6oIRwKWZhFVER,,,,,36.02290344,-78.9464035,anonymous,EN,166,,2,,2,1,1,,2,1,1,,2,,2,,2,1,1,1,1,4,16,-12,20,-0.6
1/12/2022 19:36,1/12/2022 19:39,IP Address,180.208.59.137,100,164,TRUE,1/12/2022 19:39,R_11bGZTcJyDFXUT8,,,,,31.5617981,120.2864075,anonymous,EN,178,,2,,2,1,1,,2,1,1,,2,1,1,,2,,2,1,1,4,16,-12,20,-0.6
1/12/2022 19:38,1/12/2022 19:40,IP Address,152.3.34.122,100,120,TRUE,1/12/2022 19:40,R_2qeiQcdD2r09IGE,,,,,36.02290344,-78.9464035,anonymous,EN,181,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,10,-10,10,-1
1/12/2022 19:36,1/12/2022 19:40,IP Address,152.3.34.122,100,229,TRUE,1/12/2022 19:40,R_1F2mnWB7XKBglnK,,,,,36.02290344,-78.9464035,anonymous,EN,167,,2,,2,1,1,,2,1,1,1,1,1,1,,2,,2,1,1,5,15,-10,20,-0.5
1/12/2022 19:36,1/12/2022 19:40,IP Address,73.198.241.187,100,230,TRUE,1/12/2022 19:40,R_XiCTNnq0qR6dEch,,,,,39.86019897,-74.8246994,anonymous,EN,176,2,,2,,1,1,1,1,1,1,2,,2,,2,,1,1,1,1,15,5,10,20,0.5
1/12/2022 19:37,1/12/2022 19:40,IP Address,152.3.34.122,100,210,TRUE,1/12/2022 19:40,R_3fZbQlRTpi75EVd,,,,,36.02290344,-78.9464035,anonymous,EN,160,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,0,20,-20,20,-1
1/12/2022 19:36,1/12/2022 19:40,IP Address,152.3.34.122,100,243,TRUE,1/12/2022 19:40,R_3I0QxjBy37pflMC,,,,,36.02290344,-78.9464035,anonymous,EN,176,,2,,2,,2,1,1,1,1,1,1,1,1,,2,1,1,1,1,6,14,-8,20,-0.4
1/12/2022 19:36,1/12/2022 19:41,IP Address,152.3.34.122,100,275,TRUE,1/12/2022 19:41,R_2whMTbuPw6TAzlu,,,,,36.02290344,-78.9464035,anonymous,EN,163,,1,,1,1,1,,1,,1,,1,,1,,1,,1,1,1,,1,-8,12,-0.66666667
1/12/2022 19:36,1/12/2022 19:41,IP Address,152.3.34.122,100,296,TRUE,1/12/2022 19:41,R_1mtrCAAQkPjQ9jI,,,,,36.02290344,-78.9464035,anonymous,EN,179,,2,,2,1,1,1,,,2,,2,,2,,2,,2,,1,2,16,-14,18,-0.9
1/12/2022 19:36,1/12/2022 19:41,IP Address,152.3.34.122,100,312,TRUE,1/12/2022 19:41,R_umnIreOZmUGAQ8N,,,,,36.02290344,-78.9464035,anonymous,EN,165,0,2,0,2,1,1,0,2,0,2,0,2,1,1,0,2,0,2,1,1,3,17,-14,20,-0.7
1/12/2022 19:36,1/12/2022 19:41,IP Address,117.83.103.72,100,311,TRUE,1/12/2022 19:41,R_21jH0NUbc2KGeUU,,,,,31.24200439,121.4760132,anonymous,EN,177,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,20,-20,20,-1
1/12/2022 19:36,1/12/2022 19:42,IP Address,152.3.34.122,100,323,TRUE,1/12/2022 19:42,R_3lyRU3T3p0gvLlK,,,,,36.02290344,-78.9464035,anonymous,EN,183,,2,,2,,1,,1,1,1,,2,1,1,,2,,1,2,,4,13,-9,17,-0.52
